"tool","label","tp_alignment","fp_alignment","fn_alignment","accuracy","avg_f1_all","avg_precision_alignment","avg_recall_alignment","avg_rouge1_recall_alignment","avg_rouge2_recall_alignment","avg_rouge3_recall_alignment","avg_bleu_score_alignment","avg_lev_ratio_non_zero","avg_lev_ratio_alignment","false_discovery_rate","miss_rate","alignment_error_rate"
"paddleocr_vl","abstract","83","29","13","0.6639999999999999","0.7980769230769232","0.7410714285714286","0.8645833333333334","0.6491347814582534","0.6407476125170929","0.6341082285408616","0.6156616289157605","0.9768495223941838","0.648628082869738","0.25892857142857145","0.13541666666666666","0.336"
"paddleocr_vl","affiliation","130","104","260","0.26315789473684215","0.4166666666666667","0.5555555555555556","0.3333333333333333","0.06725265593236977","0.021968517312646867","0.020242914979757085","0.0232151561752903","0.8554723607392317","0.2248095840796779","0.4444444444444444","0.6666666666666666","0.7368421052631579"
"paddleocr_vl","author","217","57","105","0.5725593667546174","0.7281879194630871","0.791970802919708","0.6739130434782609","0.5604221635883905","0.5526385224274406","0.5506596306068601","0.5533704425028232","0.9949572558307987","0.569672096346394","0.20802919708029197","0.32608695652173914","0.42744063324538256"
"paddleocr_vl","caption","701","32","149","0.7947845804988662","0.8856601389766265","0.956343792633015","0.8247058823529412","0.740579191372822","0.7116475012372501","0.689330164860484","0.6854425108490678","0.9800992660820415","0.7789677840402619","0.04365620736698499","0.17529411764705882","0.20521541950113378"
"paddleocr_vl","email","171","4","11","0.9193548387096774","0.9579831932773109","0.9771428571428571","0.9395604395604396","0.8924731182795699","0.8924731182795699","0.8924731182795699","0.8856761230233489","0.994030129563856","0.9138664094377386","0.022857142857142857","0.06043956043956044","0.08064516129032258"
"paddleocr_vl","equation","2593","572","446","0.7180836333425644","0.835912314635719","0.8192733017377567","0.8532411977624218","0.2920608281029485","0.15113237061777918","0.09900144482928575","0.10506709235897622","0.8779988288945414","0.630328708622781","0.18072669826224327","0.14675880223757815","0.28191636665743564"
"paddleocr_vl","footer","260","38","79","0.6896551724137931","0.8163265306122449","0.8724832214765101","0.7669616519174042","0.602809481275717","0.5760197733412652","0.557706776181304","0.565646015580352","0.9593472291842935","0.6616187787477886","0.12751677852348994","0.23303834808259588","0.3103448275862069"
"paddleocr_vl","header","143","53","12","0.6875","0.8148148148148148","0.7295918367346939","0.9225806451612903","0.660885989010989","0.6325549450549451","0.6198717948717949","0.6087134816830735","0.9843479252084467","0.6767391985808071","0.27040816326530615","0.07741935483870968","0.3125"
"paddleocr_vl","keyword","217","12","24","0.8577075098814229","0.9234042553191489","0.9475982532751092","0.9004149377593361","0.8413702239789197","0.8333333333333334","0.8300395256916996","0.8326395728275896","0.9960565261701166","0.854325162762511","0.05240174672489083","0.0995850622406639","0.1422924901185771"
"paddleocr_vl","list","5","106","239","0.014285714285714235","0.028169014084507046","0.04504504504504504","0.020491803278688523","0.012261158368658686","0.01091471785020172","0.009705069304717191","0.006454248152720907","0.8041002146058671","0.011487145922940959","0.954954954954955","0.9795081967213115","0.9857142857142858"
"paddleocr_vl","pub_date","5","0","23","0.1785714285714286","0.30303030303030304","1.0","0.17857142857142858","0.15476190476190474","0.125","0.10714285714285714","0.12351119894311326","0.9039999999999999","0.16142857142857142","0.0","0.8214285714285714","0.8214285714285714"
"paddleocr_vl","reference","3326","60","281","0.9070084537769294","0.9512369512369513","0.9822799763733018","0.9220959245910729","0.8495671047317674","0.8362204022649863","0.8230045475128143","0.8249654542119876","0.9779565383779936","0.8870148477352622","0.01772002362669817","0.07790407540892709","0.09299154622307063"
"paddleocr_vl","section","1390","129","57","0.881979695431472","0.9372892784895481","0.9150757077024358","0.9606081548030408","0.8608595830209509","0.8529873767659301","0.8486384891709144","0.8473707042028917","0.9936876282059647","0.8764123116791186","0.08492429229756418","0.03939184519695923","0.11802030456852793"
"paddleocr_vl","table","231","45","16","0.7910958904109588","0.8833652007648184","0.8369565217391305","0.9352226720647774","0.6337742381176988","0.5487266025262609","0.5044829255586577","0.5189517536219563","0.9309830689608168","0.7364968798970846","0.16304347826086957","0.06477732793522267","0.2089041095890411"
"paddleocr_vl","title","96","0","0","1.0","1.0","1.0","1.0","0.9691287878787879","0.9594246031746031","0.9491141381766383","0.943770845302943","0.9876192842196113","0.9876192842196113","0.0","0.0","0.0"
