"tool","label","tp_alignment","fp_alignment","fn_alignment","accuracy","avg_f1_all","avg_precision_alignment","avg_recall_alignment","avg_rouge1_recall_alignment","avg_rouge2_recall_alignment","avg_rouge3_recall_alignment","avg_bleu_score_alignment","avg_lev_ratio_non_zero","avg_lev_ratio_alignment","false_discovery_rate","miss_rate","alignment_error_rate"
"grobid","abstract","90","6","11","0.8411214953271028","0.9137055837563451","0.9375","0.8910891089108912","0.8272404419593903","0.8207042919241241","0.8150421965835066","0.8072477573982435","0.99080127068823","0.8333842463732776","0.0625","0.10891089108910891","0.1588785046728972"
"grobid","affiliation","300","49","104","0.6622516556291391","0.796812749003984","0.8595988538681948","0.7425742574257426","0.3510407958437569","0.23410787596014218","0.15935392419302571","0.17355639616792784","0.9478834676403028","0.62773739578828","0.14040114613180515","0.25742574257425743","0.33774834437086093"
"grobid","author","320","25","13","0.8938547486033519","0.943952802359882","0.927536231884058","0.960960960960961","0.8261638733705773","0.7339385474860335","0.729050279329609","0.7489242109265445","0.9893263511150099","0.8843140568625787","0.07246376811594203","0.03903903903903904","0.10614525139664804"
"grobid","caption","554","323","323","0.46166666666666667","0.6316989737742303","0.6316989737742303","0.6316989737742303","0.3959462822644461","0.37741577697336043","0.36003709162581693","0.36180346040326494","0.9616825432922923","0.4437587053671981","0.36830102622576966","0.36830102622576966","0.5383333333333333"
"grobid","email","124","4","63","0.6492146596858639","0.7873015873015873","0.96875","0.6631016042780749","0.6178010471204188","0.6178010471204188","0.6178010471204188","0.6178010471204188","0.9967641888961466","0.647113923681268","0.03125","0.33689839572192515","0.3507853403141361"
"grobid","equation","1434","1858","1887","0.27688743000579263","0.4336912142749131","0.43560145808019435","0.4317976513098464","0.049200518692059665","0.01860242203085468","0.007783312254433488","0.014284556591430244","0.7876060643495357","0.2179598095823108","0.5643985419198055","0.5682023486901535","0.7231125699942074"
"grobid","footer","166","36","178","0.4368421052631579","0.608058608058608","0.8217821782178217","0.48255813953488375","0.38663827324265604","0.3694609702565668","0.3537163708511038","0.35667960232786905","0.9787704592481575","0.427568147987353","0.1782178217821782","0.5174418604651163","0.5631578947368421"
"grobid","header","0","0","170","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"grobid","keyword","212","37","38","0.7386759581881532","0.8496993987975953","0.8514056224899599","0.848","0.7288037166085947","0.7206736353077817","0.7206736353077817","0.7217121025662052","0.9973386492961964","0.7367100824069465","0.14859437751004015","0.152","0.2613240418118467"
"grobid","list","0","0","244","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"grobid","pub_date","21","68","8","0.21649484536082475","0.3559322033898304","0.23595505617977527","0.7241379310344828","0.1958762886597938","0.18556701030927836","0.18041237113402062","0.1841705441289148","0.9740451648380037","0.21087575733606267","0.7640449438202247","0.27586206896551724","0.7835051546391752"
"grobid","reference","3692","167","126","0.926474278544542","0.9618340497590204","0.9567245400362787","0.9669984284965951","0.8566979506051738","0.8133453864694985","0.7770111767678222","0.7906861771269597","0.9875858654100287","0.9149729021565435","0.043275459963721175","0.03300157150340492","0.07352572145545797"
"grobid","section","1141","375","386","0.599894847528917","0.7499178442326653","0.7526385224274407","0.7472167648984938","0.5823977802103322","0.5765779888413958","0.5722254084032707","0.5696170177128622","0.9918590143501185","0.5950111121837461","0.24736147757255936","0.25278323510150624","0.4001051524710831"
"grobid","table","78","42","175","0.264406779661017","0.41823056300268097","0.65","0.308300395256917","0.21816243529213886","0.20028545417212312","0.18646192577050755","0.18753897129847807","0.9264324863602278","0.24495503029185683","0.35","0.691699604743083","0.735593220338983"
"grobid","title","97","2","4","0.941747572815534","0.9700000000000001","0.9797979797979798","0.9603960396039604","0.9278281874227048","0.9192556634304208","0.912008433853094","0.9119953484566987","0.9968320255312372","0.9387641405488351","0.020202020202020204","0.039603960396039604","0.05825242718446602"
